,source,tag1,relation_label,target,tag2
70,Ablepharon-Macrostomia Syndrome,RAREDISEASE,Produces,physical abnormalities affecting the fingers,SIGN
71,Ablepharon-Macrostomia Syndrome,RAREDISEASE,Produces,physical abnormalities affecting the genitals,SIGN
72,Ablepharon-Macrostomia Syndrome,RAREDISEASE,Produces,malformations abdominal wall,SIGN
73,AMS,RAREDISEASE,Is_acron,Ablepharon-Macrostomia Syndrome,RAREDISEASE
74,AMS,RAREDISEASE,Produces,delays in language development,SIGN
75,AMS,RAREDISEASE,Produces,mental retardation,SIGN
76,Ablepharon-Macrostomia Syndrome,RAREDISEASE,Is_a,genetic disorder congenital,DISEASE
77,Ablepharon-Macrostomia Syndrome,RAREDISEASE,Anaphora,The disorder,ANAPHOR
78,AMS,RAREDISEASE,Is_acron,Ablepharon-Macrostomia Syndrome,RAREDISEASE
79,AMS,RAREDISEASE,Anaphora,the syndrome,ANAPHOR
80,Aicardi syndrome,RAREDISEASE,Produces,involuntary muscle spasms,SIGN
81,Aicardi syndrome,RAREDISEASE,Produces,epilepsy,SIGN
82,Aicardi syndrome,RAREDISEASE,Produces,intellectual disability,SIGN
83,Aicardi syndrome,RAREDISEASE,Produces,hypotonia,SIGN
84,Aicardi syndrome,RAREDISEASE,Produces,microcephaly,SIGN
85,Aicardi syndrome,RAREDISEASE,Produces,microphthalmia,SIGN
86,Aicardi syndrome,RAREDISEASE,Produces,abnormalities of the ribs,SIGN
87,Aicardi syndrome,RAREDISEASE,Produces,abnormalities of spinal column,SIGN
88,Aicardi syndrome,RAREDISEASE,Produces,delay in motor development,SIGN
89,Aicardi syndrome,RAREDISEASE,Increases_risk_of,upper respiratory infections,DISEASE
90,abnormalities of the ribs,SIGN,Increases_risk_of,abnormalities of spinal column,SIGN
91,Aicardi syndrome,RAREDISEASE,Produces,seizures,SIGN
92,Aicardi syndrome,RAREDISEASE,Produces,cream-colored lucunae within the retina,SIGN
93,sepsis,DISEASE,Increases_risk_of,ARDS,DISEASE
94,pneumonia,DISEASE,Increases_risk_of,ARDS,DISEASE
95,trauma,DISEASE,Increases_risk_of,ARDS,DISEASE
96,ARDS,DISEASE,Produces,respiratory distress,SIGN
97,ARDS,DISEASE,Produces,low levels of oxygen in the blood,SIGN
98,ARDS,DISEASE,Produces,fluid in the air sacs,SIGN
99,ARDS,DISEASE,Produces,“wet” breathing sounds,SIGN
100,abetalipoproteinemia,RAREDISEASE,Anaphora,it,ANAPHOR
101,Abetalipoproteinemia,RAREDISEASE,Anaphora,the disorder,ANAPHOR
102,arodermatitis enteropathica congenital,SKINRAREDISEASE,Anaphora,the condition,ANAPHOR
103,arodermatitis enteropathica congenital,SKINRAREDISEASE,Anaphora,the disorder,ANAPHOR
104,gastro-intestinal malabsorption syndrome,DISEASE,Increases_risk_of,acquired AE,SKINRAREDISEASE
105,Acquired agranulocytosis,RAREDISEASE,Is_a,drug-induced blood disorder,DISEASE
106,Acquired agranulocytosis,RAREDISEASE,Produces,granulocytes severe reduction in the number of,SIGN
107,Acquired Agranulocytosis,RAREDISEASE,Increases_risk_of,blood disorder,DISEASE
108,Acquired Agranulocytosis,RAREDISEASE,Anaphora,this disorder,ANAPHOR
109,acquired agranulocytosis,RAREDISEASE,Produces,low levels of granulocytes,SIGN
110,Acute myeloid leukemia,RAREDISEASE,Is_a,acute leukemia,DISEASE
111,Acute myeloid leukemia,RAREDISEASE,Is_a,acute leukemia,DISEASE
112,Acute myeloid leukemia,RAREDISEASE,Anaphora,the disease,ANAPHOR
113,Acute myeloid leukemia,RAREDISEASE,Anaphora,it,ANAPHOR
114,AML,RAREDISEASE,Anaphora,the disease,ANAPHOR
115,Aspergillus Aspergillosis,RAREDISEASE,Is_a,fungal infection,DISEASE
116,Aspergillus Aspergillosis,RAREDISEASE,Anaphora,this infection,ANAPHOR
117,Aniridia,RAREDISEASE,Anaphora,The condition,ANAPHOR
118,"Aniridia, cerebellar ataxia, and mental deficiency",RAREDISEASE,Is_a,inherited disorder,DISEASE
119,"Aniridia, cerebellar ataxia, and mental deficiency",RAREDISEASE,Produces,aniridia,SIGN
120,"Aniridia, cerebellar ataxia, and mental deficiency",RAREDISEASE,Produces,partial aniridia,SIGN
121,"Aniridia, cerebellar ataxia, and mental deficiency",RAREDISEASE,Produces,hypoplasia of the brain's cerebellum,SIGN
122,"Aniridia, cerebellar ataxia, and mental deficiency",RAREDISEASE,Produces,mental retardation,SIGN
123,Gillespie syndrome,RAREDISEASE,Is_synon,"Aniridia, cerebellar ataxia, and mental deficiency",RAREDISEASE
124,this syndrome,ANAPHOR,Produces,psychomotor retardation,SIGN
125,ACAMD,RAREDISEASE,Anaphora,this syndrome,ANAPHOR
126,"Aniridia, cerebellar ataxia and mental deficiency",RAREDISEASE,Is_a,inherited disorder,DISEASE
127,"Aniridia, cerebellar ataxia and mental deficiency",RAREDISEASE,Anaphora,this syndrome,ANAPHOR
128,aniridia,RAREDISEASE,Increases_risk_of,this syndrome,ANAPHOR
129,aHUS,RAREDISEASE,Anaphora,the disorder,ANAPHOR
130,methylmalonic acidemias,RAREDISEASE,Is_a,organic acidemias,DISEASE
131,methylmalonic acidemias,RAREDISEASE,Produces,"methionine, threonine, isoleucine and valine enzymatic defect in the metabolism of",SIGN
132,methylmalonic acidemias,RAREDISEASE,Produces,high level of acid body tissues,SIGN
133,methylmalonic acidemias,RAREDISEASE,Produces,academia,SIGN
134,methylmalonic acidemias,RAREDISEASE,Produces,drowsiness,SYMPTOM
135,methylmalonic acidemias,RAREDISEASE,Produces,coma,SIGN
136,methylmalonic acidemias,RAREDISEASE,Produces,seizures,SIGN
137,methylmalonic acidemias,RAREDISEASE,Produces,Mental retardation,SIGN
138,methylmalonic acidemias,RAREDISEASE,Anaphora,The disorder,ANAPHOR
139,The disorder,ANAPHOR,Produces,deficiency of methylmalonyl CoA mutase,SIGN
140,The disorder,ANAPHOR,Produces,deficiency of methylmalonyl racemase,SIGN
141,The disorder,ANAPHOR,Produces,deficiency of adenosylcobalamin synthetic enzymes,SIGN
142,Methylmalonic Acidemias,RAREDISEASE,Is_a,organic acidemias,DISEASE
143,Alopecia areata,DISEASE,Produces,loss of hair,SIGN
144,Alopecia areata,DISEASE,Produces,hair loss,SIGN
145,Alopecia areata,DISEASE,Anaphora,this disorder,ANAPHOR
146,It,ANAPHOR,Is_a,this disorder,ANAPHOR
147,this disorder,ANAPHOR,Produces,hair loss,SIGN
148,this disorder,ANAPHOR,Produces,Hair loss,SIGN
149,Alopecia areata,DISEASE,Anaphora,It,ANAPHOR
150,ACDMPV,RAREDISEASE,Anaphora,this disorder,ANAPHOR
151,ALAD porphyria,RAREDISEASE,Anaphora,the disorder,ANAPHOR
152,ALAD porphyria,RAREDISEASE,Anaphora,the disorder,ANAPHOR
153,ALAD porphyria,RAREDISEASE,Anaphora,this disorder,ANAPHOR
154,ALAD porphyria,RAREDISEASE,Anaphora,the disorder,ANAPHOR
155,Achondroplasia,RAREDISEASE,Anaphora,This disorder,ANAPHOR
156,This disorder,ANAPHOR,Is_a,skeletal dysplasia,RAREDISEASE
157,This disorder,ANAPHOR,Produces,dwarfism,SIGN
158,Acromesomelic dysplasia,RAREDISEASE,Is_a,inherited progressive skeletal disorder,DISEASE
159,Acromesomelic dysplasia,RAREDISEASE,Produces,short stature,SIGN
160,Acromesomelic dysplasia,RAREDISEASE,Produces,short-limb dwarfism,SIGN
161,Acromesomelic dysplasia,RAREDISEASE,Anaphora,The disorder,ANAPHOR
162,Acromesomelic dysplasia,RAREDISEASE,Produces,Mesomelia,SIGN
163,Acromesomelic dysplasia,RAREDISEASE,Produces,Acromelia,SIGN
164,Acromesomelic dysplasia,RAREDISEASE,Produces,short stature,SIGN
165,The disorder,ANAPHOR,Produces,acromelia,SIGN
166,The disorder,ANAPHOR,Produces,mesomelia,SIGN
167,The disorder,ANAPHOR,Produces,"short hands,",SIGN
168,The disorder,ANAPHOR,Produces,short fingers,SIGN
169,The disorder,ANAPHOR,Produces,short feet,SIGN
170,The disorder,ANAPHOR,Produces,short toes,SIGN
171,Extrinsic allergic alveolitis acute form,RAREDISEASE,Produces,espiratory symptoms,SYMPTOM
172,Extrinsic allergic alveolitis acute form,RAREDISEASE,Produces,fever,SIGN
173,Extrinsic allergic alveolitis chronic form,RAREDISEASE,Is_a,lung disorder,DISEASE
174,Extrinsic allergic alveolitis chronic form,RAREDISEASE,Produces,gradual changes in the lung tissue,SIGN
175,Extrinsic Allergic Alveolitis,RAREDISEASE,Produces,breathing difficulty,SIGN
176,Extrinsic Allergic Alveolitis,RAREDISEASE,Produces,wheezing,SIGN
177,Extrinsic Allergic Alveolitis,RAREDISEASE,Produces,dry coughs,SIGN
178,Extrinsic Allergic Alveolitis,RAREDISEASE,Produces,Chills,SIGN
179,Extrinsic Allergic Alveolitis,RAREDISEASE,Produces,sweating,SIGN
180,Extrinsic Allergic Alveolitis,RAREDISEASE,Produces,aching,SIGN
181,Extrinsic Allergic Alveolitis,RAREDISEASE,Produces,discomfort,SIGN
182,Extrinsic Allergic Alveolitis,RAREDISEASE,Produces,fatigue,SIGN
183,Extrinsic Allergic Alveolitis,RAREDISEASE,Anaphora,this disorder,ANAPHOR
184,Extrinsic Allergic Alveolitis,RAREDISEASE,Produces,fever,SIGN
185,Extrinsic Allergic Alveolitis,RAREDISEASE,Produces,rales,SIGN
186,Extrinsic Allergic Alveolitis,RAREDISEASE,Produces,cyanosis,SIGN
187,Extrinsic Allergic Alveolitis,RAREDISEASE,Produces,expectoration of blood,SIGN
188,"Psoriatic, Arthritis",RAREDISEASE,Produces,of the joints pain,SYMPTOM
189,"Psoriatic, Arthritis",RAREDISEASE,Produces,arthritis,SIGN
190,"Psoriatic, Arthritis",RAREDISEASE,Produces,psoriasis,SIGN
191,"Psoriatic, Arthritis",RAREDISEASE,Produces,Abnormalities of the nails,SIGN
192,"Psoriatic, Arthritis",RAREDISEASE,Produces,arthritis,SIGN
193,psoriasis,DISEASE,Increases_risk_of,psoriatic arthritis,RAREDISEASE
194,psoriatic arthritis,RAREDISEASE,Anaphora,It,ANAPHOR
195,ATR-16 syndrome,RAREDISEASE,Anaphora,f the disorder,ANAPHOR
196,AIP,SKINRAREDISEASE,Anaphora,It,ANAPHOR
197,AIP,SKINRAREDISEASE,Anaphora,it,ANAPHOR
198,AIP,SKINRAREDISEASE,Anaphora,it,ANAPHOR
199,AIP,SKINRAREDISEASE,Anaphora,The disorder,ANAPHOR
200,ADCY5-related dyskinesia,RAREDISEASE,Anaphora,this disorder,ANAPHOR
201,ADCY5-dyskinesia,RAREDISEASE,Anaphora,The disorder,ANAPHOR
202,Achondrogenesis type IA,RAREDISEASE,Is_a,Achondrogenesis,RAREDISEASE
203,Achondrogenesis type IB,RAREDISEASE,Is_a,Achondrogenesis,RAREDISEASE
204,Achondrogenesis type II,RAREDISEASE,Is_a,Achondrogenesis,RAREDISEASE
205,edema,SIGN,Is_a,Acanthocheilonemiasis,RAREDISEASE
206,edema,SIGN,Increases_risk_of,Acanthocheilonemiasis,RAREDISEASE
207,edema,SIGN,Increases_risk_of,hepatosplenomegaly,SIGN
208,edema,SIGN,Increases_risk_of,eosinophilia,DISEASE
209,edema,SIGN,Produces,Acanthocheilonemiasis,RAREDISEASE
210,edema,SIGN,Produces,acanthocheilonemiasis,RAREDISEASE
211,edema,SIGN,Produces,tropical infectious disease,DISEASE
212,edema,SIGN,Produces,filarial diseases,DISEASE
213,edema,SIGN,Produces,nematode,DISEASE
214,edema,SIGN,Produces,pruritis,SIGN
215,edema,SIGN,Produces,myalgia,SYMPTOM
216,filarial diseases,DISEASE,Is_synon,nematode,DISEASE
217,Acanthocheilonemiasis,RAREDISEASE,Is_a,infectious disease,DISEASE
218,Acanthocheilonemiasis,RAREDISEASE,Anaphora,The disease,ANAPHOR
219,Acanthocheilonemiasis,RAREDISEASE,Anaphora,This disorder,ANAPHOR
220,Amyotrophic lateral sclerosis,RAREDISEASE,Increases_risk_of,motor neuron diseases,DISEASE
221,Amyotrophic lateral sclerosis,RAREDISEASE,Anaphora,It,ANAPHOR
222,ALS,RAREDISEASE,Is_acron,Amyotrophic lateral sclerosis,RAREDISEASE
223,It,ANAPHOR,Produces,progressive degeneration of nerve cells,SIGN
224,It,ANAPHOR,Produces,eventual death of nerve cells,SIGN
225,ALS,RAREDISEASE,Produces,ALS,RAREDISEASE
226,ALS,RAREDISEASE,Is_synon,Lou Gehrig's disease,RAREDISEASE
227,Acrocallosal syndrome Schinzel type,RAREDISEASE,Is_a,genetic disorder congenital,DISEASE
228,Acrocallosal syndrome Schinzel type,RAREDISEASE,Anaphora,the disorder,ANAPHOR
229,Acrocallosal syndrome Schinzel type,RAREDISEASE,Produces,malformations of the skull and facial (craniofacial) region,SIGN
230,Acrocallosal syndrome Schinzel type,RAREDISEASE,Produces,abnormalities of the digits,SIGN
231,Acrocallosal syndrome Schinzel type,RAREDISEASE,Produces,craniofacial abnormalities,SIGN
232,Acrocallosal syndrome Schinzel type,RAREDISEASE,Produces,macrocephaly,SIGN
233,Acrocallosal syndrome Schinzel type,RAREDISEASE,Produces,prominent forehead,SIGN
234,Acrocallosal syndrome Schinzel type,RAREDISEASE,Produces,ocular hypertelorism,SIGN
235,Acrocallosal syndrome Schinzel type,RAREDISEASE,Produces,small nose with a broad nasal bridge,SIGN
236,Acrocallosal syndrome Schinzel type,RAREDISEASE,Produces,dysplastic ears,SIGN
237,the disorder,ANAPHOR,Produces,agenesis of corpus callosum,SIGN
238,the disorder,ANAPHOR,Produces,moderate to severe mental retardation,SIGN
239,Acrocallosal syndrome Schinzel type,RAREDISEASE,Produces,digital malformations,SIGN
240,Acrocallosal syndrome Schinzel type,RAREDISEASE,Produces,polydactyly,SIGN
241,Acrocallosal syndrome Schinzel type,RAREDISEASE,Produces,syndactyly,SIGN
242,Acrocallosal syndrome Schinzel type,RAREDISEASE,Produces,physical abnormalities,SIGN
243,Acrocallosal syndrome Schinzel type,RAREDISEASE,Produces,growth retardation,SIGN
244,Acrocallosal syndrome Schinzel type,RAREDISEASE,Produces,short stature,SIGN
245,Acrocallosal syndrome Schinzel type,RAREDISEASE,Anaphora,The disorder,ANAPHOR
246,sideroblastic anemias,RAREDISEASE,Produces,to make hemoglobin unable,SIGN
247,sideroblastic anemias,RAREDISEASE,Produces,ringed sideroblast,SIGN
248,increased levels of iron in the blood,SIGN,Produces,sideroblastic anemias,RAREDISEASE
249,increased levels of iron in the blood,SIGN,Produces,heart disease,DISEASE
250,increased levels of iron in the blood,SIGN,Produces,to make hemoglobin unable,SIGN
251,increased levels of iron in the blood,SIGN,Produces,ringed sideroblast,SIGN
252,increased levels of iron in the blood,SIGN,Produces,liver damage,SIGN
253,sideroblastic anemia,RAREDISEASE,Produces,increased levels of iron in the blood,SIGN
254,sideroblastic anemia,RAREDISEASE,Produces,heart disease,SIGN
255,sideroblastic anemia,RAREDISEASE,Produces,liver damage,SIGN
256,sideroblastic anemia,RAREDISEASE,Produces,kidney failure,SIGN
257,sideroblastic anemia,RAREDISEASE,Produces,ringed sideroblasts,SIGN
258,aniridia,RAREDISEASE,Anaphora,This disorder,ANAPHOR
259,ATR-X syndrome,RAREDISEASE,Anaphora,this disorder,ANAPHOR
260,Bejel,RAREDISEASE,Is_a,infectious disease,DISEASE
261,Bejel,RAREDISEASE,Anaphora,The infection,ANAPHOR
262,endemic syphilis,RAREDISEASE,Is_synon,bejel,RAREDISEASE
263,bejel,RAREDISEASE,Produces,lesions of the skin,SIGN
264,bejel,RAREDISEASE,Produces,lesions of the bones,SIGN
265,bejel,RAREDISEASE,Produces,lesions,SIGN
266,aceruloplasminemia,RAREDISEASE,Anaphora,It,ANAPHOR
267,aceruloplasminemia,RAREDISEASE,Anaphora,it,ANAPHOR
268,aceruloplasminemia,RAREDISEASE,Anaphora,the disorder,ANAPHOR
269,Influenza,DISEASE,Is_a,infectious viral disease,DISEASE
270,Influenza,DISEASE,Produces,runny nose,SIGN
271,common cold,DISEASE,Produces,runny nose,SIGN
272,influenza,DISEASE,Produces,runny nose,SIGN
273,anthrax,RAREDISEASE,Produces,abnormal X-rays,SIGN
274,flu,DISEASE,Produces,abnormal X-rays,SIGN
275,Cutaneous anthrax,RAREDISEASE,Produces,raised area on the skin,SIGN
276,Cutaneous anthrax,RAREDISEASE,Produces,presence of the anthrax bacilli in the area of the lesion,SIGN
277,ADPKD,RAREDISEASE,Anaphora,the disease,ANAPHOR
278,astrocytoma,RAREDISEASE,Is_a,tumor,DISEASE
279,astrocytomas,RAREDISEASE,Is_a,gliomas,RAREDISEASE
280,Grade I astrocytoma,RAREDISEASE,Is_a,brain tumors,DISEASE
281,Grade III astrocytoma,RAREDISEASE,Is_a,brain tumors,DISEASE
282,Grade IV astrocytoma,RAREDISEASE,Is_a,primary brain tumors,DISEASE
283,Chikungunya,RAREDISEASE,Is_a,viral infection,DISEASE
284,Chikungunya,RAREDISEASE,Anaphora,It,ANAPHOR
285,It,ANAPHOR,Produces,rash,SIGN
286,It,ANAPHOR,Produces,fever,SIGN
287,It,ANAPHOR,Produces,arthralgias,SYMPTOM
288,Chikungunya,RAREDISEASE,Anaphora,It,ANAPHOR
289,Chikungunya,RAREDISEASE,Is_a,infectious tropical disease,DISEASE
290,Chikungunya,RAREDISEASE,Anaphora,It,ANAPHOR
291,Chikungunya,RAREDISEASE,Anaphora,it,ANAPHOR
292,Chikungunya,RAREDISEASE,Anaphora,It,ANAPHOR
293,Chikungunya,RAREDISEASE,Anaphora,this disease,ANAPHOR
294,CARASIL,RAREDISEASE,Is_a,genetic disorder,DISEASE
295,CARASIL,RAREDISEASE,Produces,strokes,SIGN
296,CARASIL,RAREDISEASE,Produces,damage to various small blood vessels,SIGN
297,CARASIL,RAREDISEASE,Produces,white matter involvement,SIGN
298,CARASIL,RAREDISEASE,Produces,leukoaraiosis,SIGN
299,CARASIL,RAREDISEASE,Produces,spasticity,SIGN
300,CARASIL,RAREDISEASE,Produces,pseudobulbar palsy,SIGN
301,CARASIL,RAREDISEASE,Produces,gait disturbance,SIGN
302,CARASIL,RAREDISEASE,Produces,dementia,SIGN
303,CARASIL,RAREDISEASE,Produces,stroke-like episodes,SIGN
304,Pseudobulbar palsy,DISEASE,Produces,difficult chewing,SIGN
305,Pseudobulbar palsy,DISEASE,Produces,difficult speech,SIGN
306,CARASIL,RAREDISEASE,Anaphora,this condition,ANAPHOR
307,Autosomal dominant tubulointerstitial kidney disease,RAREDISEASE,Anaphora,These conditions,ANAPHOR
308,Autosomal dominant tubulointerstitial kidney disease,RAREDISEASE,Anaphora,They,ANAPHOR
309,Autosomal dominant tubulointerstitial kidney disease,RAREDISEASE,Anaphora,the disease,ANAPHOR
310,Autosomal dominant tubulointerstitial kidney disease,RAREDISEASE,Produces,elevated creatinine,SIGN
311,Autosomal dominant tubulointerstitial kidney disease,RAREDISEASE,Produces,elevated creatinine,SIGN
312,Autosomal dominant tubulointerstitial kidney disease,RAREDISEASE,Produces,chronic kidney disease,SIGN
313,Autosomal dominant tubulointerstitial kidney disease,RAREDISEASE,Anaphora,the disease,ANAPHOR
314,ADTKD,RAREDISEASE,Is_acron,Autosomal dominant tubulointerstitial kidney disease,RAREDISEASE
315,These conditions,ANAPHOR,Produces,Chronic kidney disease,SIGN
316,Chronic kidney disease,DISEASE,Produces,elevated blood creatinine,SIGN
317,chronic kidney disease,DISEASE,Produces,creatinine rises,SIGN
318,chronic kidney disease,DISEASE,Produces,fatigue,SYMPTOM
319,chronic kidney disease,DISEASE,Produces,anemia,SIGN
320,chronic kidney disease,DISEASE,Produces,feel cold all the time,SYMPTOM
321,chronic kidney disease,DISEASE,Produces,Decreased appetite,SYMPTOM
322,chronic kidney disease,DISEASE,Produces,fluid retention,SIGN
323,the disease,ANAPHOR,Produces,elevated uric acid concentrations in blood,SIGN
324,ADTKD-UMOD,RAREDISEASE,Produces,gout,SIGN
325,ADTKD- REN,RAREDISEASE,Produces,gout,SIGN
326,ADNP syndrome,RAREDISEASE,Anaphora,this disorder,ANAPHOR
327,ADNP syndrome,RAREDISEASE,Anaphora,the disorder,ANAPHOR
328,ADNP syndrome,RAREDISEASE,Increases_risk_of,autism,DISEASE
329,ADNP syndrome,RAREDISEASE,Anaphora,it,ANAPHOR
330,it,ANAPHOR,Increases_risk_of,autism spectrum disorder,DISEASE
331,Adult onset Still’s disease,RAREDISEASE,Increases_risk_of,the disorder,ANAPHOR
332,Adult onset Still’s disease,RAREDISEASE,Increases_risk_of,It,ANAPHOR
333,adult onset Still’s disease,RAREDISEASE,Anaphora,the disorder,ANAPHOR
334,adult onset Still’s disease,RAREDISEASE,Anaphora,it,ANAPHOR
335,Budd-Chiari syndrome,RAREDISEASE,Produces,hepatic veins occlusion of the,SIGN
336,Budd Chiari syndrome,RAREDISEASE,Produces,pain in the upper right part of the abdomen,SYMPTOM
337,Budd Chiari syndrome,RAREDISEASE,Produces,hepatomegaly,SIGN
338,Budd Chiari syndrome,RAREDISEASE,Produces,ascites,SIGN
339,Budd Chiari syndrome,RAREDISEASE,Produces,portal hypertension,SIGN
340,the disorder,ANAPHOR,Produces,nausea,SYMPTOM
341,the disorder,ANAPHOR,Produces,vomiting,SIGN
342,the disorder,ANAPHOR,Produces,splenomegaly,SIGN
343,"large, wide eyes",SIGN,Produces,pediatric HIV infection,RAREDISEASE
344,"large, wide eyes",SIGN,Produces,HIV,DISEASE
345,"large, wide eyes",SIGN,Produces,HIV,DISEASE
346,"large, wide eyes",SIGN,Produces,Perinatal HIV infection,RAREDISEASE
347,"large, wide eyes",SIGN,Produces,immunodeficiency,SYMPTOM
348,"large, wide eyes",SIGN,Produces,flattened nasal bridge,SIGN
349,"large, wide eyes",SIGN,Produces,pronounced philtrum,SIGN
350,"large, wide eyes",SIGN,Produces,HIV,DISEASE
351,"large, wide eyes",SIGN,Produces,HIV,DISEASE
352,HIV embryopathy,RAREDISEASE,Is_synon,"large, wide eyes",SIGN
353,pediatric HIV infection,RAREDISEASE,Is_synon,HIV infection in young children,RAREDISEASE
354,Autoimmune blistering diseases,SKINRAREDISEASE,Produces,blistering lesions,SIGN
355,autoimmune blistering diseases,SKINRAREDISEASE,Is_a,blistering diseases,DISEASE
356,autoimmune blistering diseases,SKINRAREDISEASE,Produces,blistering lesions,SIGN
357,blistering diseases,DISEASE,Produces,blistering,SIGN
